USR-93D8E9EB,asdsa,adsas,asdas@gmail.com,0721234343,$2a$10$zt0jqfUtzZHNPiLiBZkuLeQdwD4qTgqgYmLs9KdogBteg8KPH4Zq6,DRIVER,LICENSE-LIC-9EEBBC36,0
USR-364151BC,sayuru eragoda,sayuruE,sayuruE222@gmail.com,0764428554,$2a$10$Iohbn0XyL2SRDsAPw6FpFeMi6hTN7PIYqqHlW0ZFc2Ozc/d95UCPK,DRIVER,LICENSE-LIC-D7BC8CA3,0
USR-27FD73B9,yohan,jagath,aaa@mail.com,0872547364,$2a$10$vVqEHeNgzYwNOEnozdiTsOuzDYzUdl2Y0nx7U0NRK9l1wSJW/r6/q,DRIVER,LICENSE-LIC-C655F018,0
USR-86929826,yohan,jagath,aaa@mail.com,0872547364,$2a$10$r36VgHPDkI6g7aRTnQiPv.GkeBACEwTcNIlUZYpftncOCGba4H26y,DRIVER,LICENSE-LIC-C8ADF825,0
USR-B75A55F6,asds dsfsdf,asfdsf,afefe@dfsd,0721234343,$2a$10$nkzINCnngG4ms/NBDeEP6.UDYETdt09x0TwIIJsFXnqqZnuXecQWK,DRIVER,LICENSE-LIC-C9D41DA0,0
USR-EEA5837D,asds dsfsdf,asfdsf,asdas@gmail.com,0721234343,$2a$10$0QULeOudosVUQ0vMqMdpIe23sfxITuyywOZPWpg4mC.JPaEe6wJ9K,DRIVER,LICENSE-LIC-DC37DA87,0
USR-7A99C42B,sayuru eragoda,sayuruE,sayuru@gmail.com,0982745364,$2a$10$./xU9roNeTBt.oEvSUrXCexblHESJKYFFuZLpE1BJG0ILTN7qFtju,DRIVER,LICENSE-LIC-CDFF3504,0
USR-C0A9C1C9,sayuru eragoda,sayuruE,admin@gmail.com,0982745364,$2a$10$UsAEj2wOQW/2ZPeTHYmgh.8tHHkMv45qKUWwz/KbvUxHpyB4B30DS,ADMIN,LICENSE-LIC-885CABB0,0
USR-20655EC8,driver,driver,driver@gmail.com,0876543214,$2a$10$.Jl6x//a.Qp.0rDrpGadwe13lBS/hbQaU.3G05d/gMk8arP4brPii,DRIVER,LICENSE-LIC-4CC78F3A,0
USR-CD48A2F2,aaa aaa,admin,admin2@gmail.com,0721234343,$2a$10$8WMU1WBpO4tBRT4hhnB.leYECXVhECS2TMmDDWoiIrZs9ztXv4boO,ADMIN,LICENSE-LIC-77B13548,0
USR-55D7C8CD,a,a,a@gmail.com,1234567890,$2a$10$EyXxlpdRGB1nEp035UQOcuIuMr.neAtj40mPIT6MrdeBR4YMBDle6,ADMIN,LICENSE-LIC-45A06087,0
USR-BD98A4F8,b,b,b@gmail.com,1234567890,$2a$10$TTRo/OP5yM.mjivloVrcg.RKphjlOy9tB.6AVE/Pn8HXD5oyznVqO,DRIVER,LICENSE-LIC-0C7C5547,0
